,internal_temp,humidity,weight,surface_temp,fan_rpm,air_pressure,heater_state
41,80.0,15.06,4989.27,77.45,1738.9,15.069,1.0
42,80.0,14.22,4988.9,78.51,1728.8,14.994,1.0
43,80.0,15.32,4988.54,78.74,1777.4,15.188,1.0
44,80.0,14.84,4988.27,78.95,1725.4,14.757,1.0
45,80.0,16.31,4987.91,78.29,1736.1,15.038,1.0
46,80.0,16.99,4987.65,78.38,1794.0,15.712,1.0
47,80.0,16.32,4987.25,78.2,1736.6,14.837,1.0
48,80.0,14.14,4987.14,77.79,1719.7,14.743,1.0
49,80.0,16.69,4986.89,77.95,1717.6,14.79,1.0
50,80.0,15.41,4986.58,78.79,1715.8,15.129,1.0
51,80.0,16.32,4986.28,77.73,1714.3,14.804,1.0
52,80.0,16.71,4986.1,78.79,1716.2,14.814,1.0
53,80.0,16.89,4985.74,78.22,1713.3,14.855,1.0
54,80.0,13.75,4985.37,78.45,1745.2,15.118,1.0
55,80.0,15.88,4985.03,78.59,1715.7,14.973,1.0
56,80.0,14.94,4984.85,77.3,1726.1,14.533,1.0
57,80.0,15.49,4984.51,77.46,1709.0,14.787,1.0
58,80.0,14.21,4984.12,78.24,1710.0,14.619,1.0
59,80.0,16.42,4983.76,78.92,1744.1,14.883,1.0
60,80.0,16.68,4983.52,78.13,1703.9,14.533,1.0
61,80.0,17.19,4983.28,78.38,1746.8,15.046,1.0
62,80.0,15.78,4983.11,78.93,1715.0,14.831,1.0
63,80.0,16.39,4982.84,78.97,1729.4,15.344,1.0
64,80.0,15.05,4982.61,77.66,1707.0,14.459,1.0
65,80.0,15.87,4982.39,77.11,1698.2,14.527,1.0
66,80.0,16.15,4982.16,78.32,1721.3,14.901,1.0
67,80.0,18.08,4981.96,77.38,1727.4,14.929,1.0
68,80.0,14.9,4981.82,78.56,1744.7,15.243,1.0
69,80.0,16.35,4981.62,77.93,1732.2,14.677,1.0
70,80.0,15.59,4981.35,78.05,1741.1,15.121,1.0
71,80.0,14.25,4981.1,77.23,1737.3,14.974,1.0
72,80.0,16.52,4980.77,78.61,1725.7,15.072,1.0
73,80.0,15.32,4980.54,77.54,1762.1,15.356,1.0
74,80.0,15.37,4980.33,77.1,1732.9,14.5,1.0
75,80.0,15.88,4979.99,77.65,1777.8,15.843,1.0
76,80.0,17.29,4979.62,77.22,1739.4,15.161,1.0
77,80.0,16.09,4979.32,78.56,1718.7,15.034,1.0
78,80.0,15.3,4979.1,77.64,1722.7,15.089,1.0
79,80.0,14.54,4978.92,78.81,1750.2,15.009,1.0
80,80.0,16.35,4978.76,77.2,1748.8,15.051,1.0
81,80.0,17.55,4978.54,77.37,1725.9,14.986,1.0
82,80.0,15.84,4978.38,77.4,1730.7,15.087,1.0
83,80.0,17.15,4978.22,77.99,1741.1,14.958,1.0
84,80.0,14.82,4977.83,77.88,1668.4,14.443,1.0
85,80.0,16.23,4977.58,78.79,1737.5,15.321,1.0
86,80.0,16.18,4977.24,78.76,1759.7,15.179,1.0
87,80.0,16.12,4977.13,77.9,1761.1,15.547,1.0
88,80.0,16.03,4977.02,78.8,1777.9,15.478,1.0
89,80.0,14.44,4976.8,78.66,1747.1,15.269,1.0
90,80.0,15.23,4976.6,78.29,1742.4,14.927,1.0
91,80.0,14.09,4976.37,77.03,1758.0,14.987,1.0
92,80.0,15.91,4975.97,78.9,1693.8,14.907,1.0
93,80.0,15.83,4975.63,77.33,1744.3,15.119,1.0
94,80.0,14.68,4975.46,77.47,1722.2,14.772,1.0
95,80.0,17.94,4975.12,77.76,1762.5,15.502,1.0
96,80.0,15.45,4974.78,78.95,1721.2,14.887,1.0
97,80.0,15.37,4974.55,78.0,1668.5,14.565,1.0
98,80.0,15.69,4974.32,78.59,1695.0,14.198,1.0
99,80.0,15.69,4973.98,77.09,1716.5,14.388,1.0
100,80.0,15.65,4973.72,77.92,1746.5,14.97,1.0
101,80.0,15.63,4973.6,78.04,1745.5,15.098,1.0
102,80.0,15.81,4973.28,77.72,1725.6,15.153,1.0
103,80.0,15.8,4973.12,78.66,1714.7,15.012,1.0
104,80.0,14.36,4972.76,78.01,1720.1,15.241,1.0
105,80.0,15.57,4972.54,78.27,1704.3,14.828,1.0
106,80.0,16.64,4972.24,78.28,1719.8,14.704,1.0
107,80.0,16.5,4971.96,78.58,1748.7,15.132,1.0
108,80.0,14.73,4971.69,77.07,1696.3,14.725,1.0
109,80.0,13.09,4971.39,78.8,1710.3,14.642,1.0
110,80.0,16.96,4971.2,78.99,1757.2,15.383,1.0
111,80.0,17.09,4970.84,77.79,1747.2,14.854,1.0
112,80.0,15.9,4970.45,77.33,1753.2,15.018,1.0
113,80.0,15.93,4970.32,77.96,1713.8,14.685,1.0
114,80.0,13.64,4969.92,77.61,1700.8,14.758,1.0
115,80.0,16.55,4969.6,77.94,1759.5,15.141,1.0
116,80.0,17.5,4969.34,78.45,1751.7,15.097,1.0
117,80.0,17.99,4969.16,78.73,1726.3,14.816,1.0
118,80.0,14.09,4969.0,78.75,1735.5,15.231,1.0
119,80.0,16.39,4968.74,77.96,1720.0,14.971,1.0
120,80.0,13.74,4968.49,78.81,1731.1,14.907,1.0
121,80.0,16.51,4968.24,77.78,1718.7,14.78,1.0
122,80.0,15.09,4968.04,77.83,1704.2,14.485,1.0
123,80.0,18.12,4967.69,77.57,1742.1,15.163,1.0
124,80.0,16.0,4967.4,77.66,1711.1,14.588,1.0
125,80.0,13.99,4967.24,78.83,1764.0,15.342,1.0
126,80.0,16.89,4967.08,78.46,1736.5,14.995,1.0
127,80.0,14.1,4966.72,77.76,1752.5,15.497,1.0
128,80.0,16.5,4966.32,78.68,1734.9,14.945,1.0
129,80.0,16.0,4965.94,78.12,1753.0,15.061,1.0
130,80.0,15.33,4965.61,78.99,1758.6,15.478,1.0
131,80.0,16.71,4965.4,78.98,1726.6,15.159,1.0
132,80.0,15.3,4965.27,77.36,1725.1,14.929,1.0
133,80.0,16.2,4964.89,78.05,1734.5,15.166,1.0
134,80.0,17.68,4964.73,77.68,1727.8,14.948,1.0
135,80.0,16.76,4964.38,77.72,1711.2,14.851,1.0
136,80.0,16.14,4964.12,78.56,1731.5,14.926,1.0
137,80.0,17.12,4963.96,78.27,1789.1,15.602,1.0
138,80.0,17.5,4963.74,77.28,1726.2,14.872,1.0
139,80.0,15.0,4963.53,77.12,1724.1,14.767,1.0
140,80.0,15.3,4963.31,78.64,1735.7,15.483,1.0
141,80.0,15.83,4963.19,78.77,1689.5,14.517,1.0
142,80.0,15.78,4963.0,78.15,1710.8,14.74,1.0
143,80.0,16.27,4962.8,77.33,1725.5,14.787,1.0
144,80.0,13.95,4962.6,78.64,1728.3,14.835,1.0
145,80.0,15.26,4962.28,78.99,1721.9,15.281,1.0
146,80.0,15.46,4961.94,78.0,1730.9,15.177,1.0
147,80.0,15.34,4961.63,78.12,1738.1,14.869,1.0
148,80.0,15.27,4961.4,78.69,1722.1,14.677,1.0
149,80.0,15.99,4961.07,77.52,1699.3,14.214,1.0
150,80.0,16.21,4960.82,77.43,1715.1,14.944,1.0
151,80.0,15.41,4960.44,78.98,1757.3,15.016,1.0
152,80.0,14.19,4960.05,78.86,1749.8,15.302,1.0
153,80.0,15.24,4959.89,77.18,1748.9,14.81,1.0
154,80.0,15.81,4959.54,78.83,1747.1,15.364,1.0
155,80.0,14.98,4959.43,77.13,1709.7,14.932,1.0
156,80.0,16.73,4959.2,77.89,1731.0,15.195,1.0
157,80.0,15.76,4958.82,77.19,1729.8,14.858,1.0
158,80.0,16.1,4958.45,78.55,1732.7,15.193,1.0
159,80.0,15.12,4958.29,78.18,1676.6,14.428,1.0
160,80.0,15.76,4957.92,78.02,1726.8,15.076,1.0
161,80.0,16.34,4957.64,77.02,1675.3,14.454,1.0
162,80.0,16.13,4957.5,78.49,1740.3,14.476,1.0
163,80.0,16.85,4957.35,78.18,1726.5,15.116,1.0
164,80.0,16.7,4957.18,77.04,1705.5,14.7,1.0
165,80.0,15.2,4956.86,77.68,1744.5,15.432,1.0
166,80.0,15.96,4956.49,77.6,1748.5,15.492,1.0
167,80.0,15.73,4956.11,78.7,1726.4,14.845,1.0
168,80.0,16.0,4955.87,77.92,1698.8,14.872,1.0
169,80.0,17.54,4955.55,77.32,1746.5,15.225,1.0
170,80.0,17.15,4955.2,77.18,1683.2,13.965,1.0
171,80.0,14.99,4954.83,77.07,1729.2,14.936,1.0
172,80.0,14.15,4954.68,78.22,1725.0,14.715,1.0
173,80.0,17.86,4954.41,78.63,1770.7,15.131,1.0
174,80.0,15.61,4954.12,77.33,1711.7,14.55,1.0
175,80.0,16.78,4953.85,77.49,1719.4,14.703,1.0
176,80.0,16.63,4953.75,78.29,1734.5,14.83,1.0
177,80.0,13.86,4953.5,78.4,1739.9,14.636,1.0
178,80.0,16.82,4953.16,77.48,1757.9,15.162,1.0
179,80.0,14.56,4952.92,78.73,1711.0,14.729,1.0
180,80.0,14.48,4952.55,78.21,1724.4,14.806,1.0
181,80.0,15.6,4952.25,77.26,1722.7,15.063,1.0
182,80.0,17.21,4952.07,78.93,1685.6,14.518,1.0
183,80.0,14.43,4951.73,77.91,1745.0,15.51,1.0
184,80.0,17.0,4951.53,77.75,1715.7,15.156,1.0
185,80.0,14.58,4951.13,78.05,1749.5,15.091,1.0
186,80.0,16.78,4950.96,77.66,1742.2,15.151,1.0
187,80.0,13.93,4950.58,77.63,1723.1,14.821,1.0
188,80.0,16.76,4950.26,77.74,1711.4,14.876,1.0
189,80.0,16.1,4950.02,77.2,1732.7,14.783,1.0
190,80.0,15.73,4949.73,78.69,1732.2,15.044,1.0
191,80.0,16.31,4949.38,78.83,1712.6,14.722,1.0
192,80.0,15.02,4949.15,77.9,1755.2,15.228,1.0
193,80.0,15.81,4949.05,78.28,1744.8,15.231,1.0
194,80.0,15.28,4948.74,77.37,1741.0,15.146,1.0
195,80.0,16.86,4948.43,77.15,1713.5,14.511,1.0
196,80.0,16.78,4948.16,78.18,1744.4,15.212,1.0
197,80.0,15.04,4947.86,77.32,1749.6,15.182,1.0
198,80.0,14.92,4947.54,78.91,1780.8,15.565,1.0
199,80.0,15.61,4947.33,78.1,1716.2,14.846,1.0
200,79.93,16.35,4947.07,77.54,1705.8,14.838,2.0
201,79.95,16.97,4946.82,77.2,1715.3,14.851,2.0
202,80.04,16.69,4946.42,78.54,1735.6,14.93,2.0
203,80.34,14.8,4946.27,78.91,1766.6,15.243,2.0
204,80.28,15.3,4946.07,79.04,1715.1,14.964,2.0
205,79.68,14.45,4945.74,78.07,1719.9,15.449,2.0
206,80.15,15.49,4945.36,77.27,1725.5,15.381,2.0
207,79.63,16.03,4945.22,76.64,1758.4,15.263,2.0
208,79.6,15.35,4945.05,77.96,1718.8,15.209,2.0
209,80.31,15.91,4944.76,78.19,1729.0,15.14,2.0
210,79.65,16.52,4944.5,77.92,1781.0,15.397,2.0
211,79.73,16.32,4944.25,76.92,1724.2,14.792,2.0
212,79.97,15.03,4944.01,77.79,1698.8,14.663,2.0
213,80.42,16.7,4943.64,77.55,1702.1,14.73,2.0
214,80.26,15.6,4943.48,77.67,1778.8,15.479,2.0
215,79.56,16.43,4943.35,77.54,1729.6,14.975,2.0
216,79.6,15.58,4943.19,77.89,1770.2,14.954,2.0
217,80.23,15.11,4943.04,78.78,1756.1,15.276,2.0
218,79.92,18.13,4942.82,78.39,1701.6,14.452,2.0
219,79.73,16.85,4942.44,77.0,1681.1,14.722,2.0
220,79.87,15.64,4942.26,77.22,1779.6,15.108,2.0
221,79.75,14.36,4941.92,77.47,1722.4,15.095,2.0
222,80.21,16.56,4941.73,77.42,1694.5,14.617,2.0
223,80.44,15.81,4941.43,78.32,1710.1,14.62,2.0
224,79.77,16.99,4941.12,78.19,1754.7,14.99,2.0
225,80.32,15.57,4940.74,78.5,1761.6,15.217,2.0
226,79.74,15.45,4940.4,78.3,1702.1,14.802,2.0
227,79.6,15.87,4940.09,77.54,1739.3,15.216,2.0
228,80.38,14.98,4939.79,78.72,1700.7,14.572,2.0
229,80.41,16.82,4939.53,77.78,1730.1,15.49,2.0
230,79.78,17.25,4939.27,78.43,1733.5,15.095,2.0
231,80.09,17.04,4938.89,77.93,1733.8,15.132,2.0
232,79.88,16.26,4938.69,78.15,1726.0,14.858,2.0
233,80.28,15.99,4938.47,77.93,1728.3,15.125,2.0
234,80.28,14.66,4938.31,78.99,1748.1,15.374,2.0
235,79.76,15.56,4937.91,77.2,1702.5,14.895,2.0
236,79.88,14.95,4937.61,76.93,1738.6,15.274,2.0
237,79.95,16.6,4937.51,78.05,1733.5,14.825,2.0
238,80.19,16.47,4937.18,77.67,1727.4,14.797,2.0
239,80.16,15.08,4936.87,79.12,1717.7,14.877,2.0
240,79.55,16.23,4936.62,77.09,1734.5,14.522,2.0
241,80.39,16.65,4936.24,78.01,1736.8,14.887,2.0
242,79.85,15.03,4936.08,77.22,1692.7,14.634,2.0
243,80.33,14.13,4935.95,78.44,1734.5,14.904,2.0
244,80.46,17.17,4935.8,77.88,1745.9,15.335,2.0
245,80.47,15.15,4935.42,77.51,1754.8,15.433,2.0
246,80.07,15.43,4935.12,77.11,1747.3,15.23,2.0
247,80.14,19.07,4934.79,77.64,1736.6,15.325,2.0
248,79.75,15.41,4934.55,78.3,1722.1,14.885,2.0
249,80.0,16.38,4934.34,78.72,1718.8,15.042,2.0
250,80.01,16.15,4934.18,77.17,1725.9,15.151,2.0
251,80.2,15.12,4933.99,77.55,1717.4,14.792,2.0
252,80.25,16.07,4933.85,77.62,1740.9,15.454,2.0
253,80.34,14.94,4933.65,77.53,1744.6,15.052,2.0
254,80.26,15.51,4933.37,79.15,1737.8,15.021,2.0
255,80.01,17.05,4932.97,78.04,1712.4,15.003,2.0
256,79.66,15.52,4932.85,78.37,1743.1,15.574,2.0
257,79.5,15.96,4932.51,77.1,1706.4,14.726,2.0
258,79.53,16.0,4932.15,77.96,1723.5,14.774,2.0
259,79.68,15.97,4931.97,77.59,1775.3,15.602,2.0
260,79.74,16.39,4931.77,78.67,1757.0,15.247,2.0
261,79.56,16.62,4931.41,78.25,1753.1,15.196,2.0
262,80.05,15.85,4931.22,78.96,1742.5,15.234,2.0
263,80.39,15.92,4930.89,77.89,1717.9,15.062,2.0
264,80.41,14.02,4930.75,78.37,1721.4,14.773,2.0
265,80.04,17.83,4930.64,77.39,1746.1,15.065,2.0
266,79.66,15.0,4930.31,77.53,1765.0,15.234,2.0
267,79.73,17.7,4930.05,78.34,1786.2,15.401,2.0
268,80.32,13.75,4929.79,78.6,1743.3,14.996,2.0
269,80.18,15.3,4929.51,77.82,1708.4,14.665,2.0
270,79.82,15.42,4929.13,77.28,1765.4,15.126,2.0
271,80.07,15.13,4928.86,77.46,1716.7,14.758,2.0
272,80.25,16.55,4928.71,78.55,1752.3,15.268,2.0
273,79.59,15.42,4928.49,76.92,1732.4,15.343,2.0
274,79.52,15.57,4928.12,77.14,1744.3,15.184,2.0
275,79.92,15.91,4927.76,78.08,1740.3,14.911,2.0
276,80.05,16.82,4927.49,78.9,1717.4,14.965,2.0
277,80.06,15.42,4927.13,77.68,1757.2,15.428,2.0
278,80.38,16.69,4926.73,78.23,1717.5,14.956,2.0
279,79.94,16.63,4926.4,77.29,1723.2,14.854,2.0
280,79.94,15.36,4926.1,78.42,1733.9,15.054,2.0
281,80.19,17.66,4925.91,78.95,1757.0,15.296,2.0
282,80.18,14.69,4925.74,78.37,1729.2,15.125,2.0
283,80.23,15.88,4925.51,78.83,1727.5,15.097,2.0
284,80.21,16.8,4925.32,77.98,1728.0,14.64,2.0
285,79.83,16.11,4925.09,77.89,1753.9,15.213,2.0
286,79.88,15.52,4924.72,77.34,1739.7,15.16,2.0
287,80.21,17.37,4924.34,77.62,1731.4,15.103,2.0
288,79.51,15.9,4923.95,77.49,1738.1,15.004,2.0
289,80.44,15.81,4923.62,78.2,1740.7,14.848,2.0
290,80.0,18.23,4923.28,78.8,1726.0,14.886,2.0
291,80.15,18.8,4923.09,78.3,1762.2,15.174,2.0
292,79.84,14.8,4922.98,78.46,1756.2,14.914,2.0
293,80.44,14.44,4922.63,78.53,1744.1,15.261,2.0
294,80.41,14.23,4922.5,78.37,1709.0,14.802,2.0
295,79.72,17.3,4922.35,77.37,1738.1,14.73,2.0
296,79.91,16.41,4921.97,78.34,1753.5,15.333,2.0
297,79.56,17.24,4921.79,78.06,1731.8,14.748,2.0
298,80.19,17.31,4921.67,77.64,1756.2,15.206,2.0
299,80.49,15.41,4921.49,78.0,1773.9,15.365,2.0
300,80.11,15.96,4921.29,78.9,1740.0,15.044,2.0
301,80.48,15.85,4920.99,79.04,1722.2,15.093,2.0
302,79.53,17.48,4920.69,78.24,1699.6,14.308,2.0
303,79.94,16.19,4920.44,77.92,1742.3,15.293,2.0
304,80.35,15.96,4920.33,79.14,1740.3,15.042,2.0
305,80.42,16.19,4919.93,78.99,1746.2,14.98,2.0
306,79.77,15.93,4919.58,77.7,1681.9,14.62,2.0
307,80.33,14.13,4919.47,78.96,1711.5,14.526,2.0
308,79.91,14.67,4919.23,78.54,1735.4,15.033,2.0
309,80.36,16.37,4918.84,78.96,1726.4,14.732,2.0
310,80.26,14.68,4918.7,78.87,1747.6,15.268,2.0
311,80.41,14.36,4918.58,78.12,1785.2,15.618,2.0
312,80.04,16.41,4918.22,78.48,1710.4,14.899,2.0
313,79.65,14.68,4917.97,77.2,1763.4,15.345,2.0
314,79.73,16.37,4917.75,78.19,1763.1,15.141,2.0
315,80.29,15.7,4917.62,78.9,1719.1,14.831,2.0
316,79.89,16.13,4917.39,78.05,1762.7,15.284,2.0
317,80.19,15.91,4917.02,78.13,1740.4,14.865,2.0
318,79.97,15.52,4916.63,78.47,1757.1,15.634,2.0
319,79.82,14.48,4916.4,78.6,1742.3,15.107,2.0
320,80.04,13.48,4916.04,78.99,1759.4,15.547,2.0
321,79.77,15.92,4915.92,77.9,1721.6,14.767,2.0
322,79.66,16.8,4915.8,77.38,1752.7,15.291,2.0
323,80.37,15.54,4915.57,79.3,1694.9,14.597,2.0
324,80.46,16.48,4915.19,79.01,1735.9,14.886,2.0
325,80.19,14.96,4914.81,77.48,1769.4,15.513,2.0
326,80.43,15.44,4914.57,79.21,1711.1,14.82,2.0
327,79.88,16.52,4914.19,76.94,1720.2,15.149,2.0
328,80.18,15.94,4913.92,78.49,1750.4,15.162,2.0
329,79.56,17.54,4913.75,77.59,1717.8,14.78,2.0
330,80.49,15.52,4913.45,78.4,1725.1,15.272,2.0
331,79.54,16.07,4913.2,77.7,1773.6,15.59,2.0
332,80.3,15.14,4913.05,77.75,1742.7,15.173,2.0
333,79.69,15.85,4912.86,77.49,1701.6,14.606,2.0
334,79.65,15.98,4912.76,78.11,1728.8,15.205,2.0
335,79.78,19.19,4912.51,77.82,1737.5,15.214,2.0
336,79.57,16.94,4912.22,77.98,1731.9,15.373,2.0
337,79.89,16.33,4911.83,77.91,1742.6,15.136,2.0
338,80.27,16.2,4911.54,78.34,1726.4,15.213,2.0
339,80.07,16.75,4911.35,78.96,1731.3,15.173,2.0
340,79.75,16.2,4911.03,76.79,1700.0,14.714,2.0
341,79.64,15.42,4910.82,76.65,1738.9,15.017,2.0
342,79.86,15.33,4910.67,77.8,1738.7,15.264,2.0
343,80.12,15.92,4910.55,77.2,1703.7,14.874,2.0
344,79.58,13.89,4910.23,77.12,1719.6,14.916,2.0
345,80.25,17.13,4909.91,77.49,1705.3,14.53,2.0
346,79.6,16.08,4909.66,77.3,1758.2,15.454,2.0
347,79.74,14.82,4909.54,78.11,1678.2,14.096,2.0
348,79.9,17.39,4909.32,78.49,1740.4,15.156,2.0
349,80.16,14.47,4909.2,77.42,1750.2,15.051,2.0
350,79.54,15.06,4908.87,77.66,1747.9,14.907,2.0
351,80.43,14.16,4908.65,77.78,1726.4,14.869,2.0
352,80.18,16.46,4908.31,78.84,1724.6,15.043,2.0
353,80.42,15.11,4908.13,77.69,1750.2,15.08,2.0
354,79.74,17.42,4907.91,77.82,1778.1,15.767,2.0
355,79.64,16.62,4907.52,76.84,1679.1,14.602,2.0
356,79.89,16.37,4907.22,78.81,1756.3,15.024,2.0
357,79.61,14.66,4906.94,78.15,1747.3,15.145,2.0
358,80.11,15.44,4906.7,78.73,1719.2,15.067,2.0
359,79.72,15.19,4906.57,77.14,1741.7,15.313,2.0
360,79.64,16.83,4906.17,77.29,1704.0,14.701,2.0
361,79.77,15.74,4905.79,76.99,1745.4,15.414,2.0
362,80.21,14.61,4905.5,77.44,1735.2,14.964,2.0
363,80.23,17.07,4905.12,77.9,1746.3,14.675,2.0
364,79.93,17.04,4904.74,78.7,1748.0,15.168,2.0
365,79.69,14.33,4904.4,76.71,1739.4,15.138,2.0
366,80.16,15.49,4904.24,79.0,1736.2,14.806,2.0
367,79.81,13.95,4903.92,78.77,1720.2,15.059,2.0
368,79.89,15.69,4903.76,78.0,1731.3,15.15,2.0
369,80.36,17.32,4903.47,77.75,1721.0,14.939,2.0
370,79.86,14.41,4903.15,78.23,1699.4,14.487,2.0
371,80.15,16.61,4902.96,77.2,1723.6,15.119,2.0
372,80.0,15.69,4902.71,77.55,1695.4,14.775,2.0
373,79.75,16.96,4902.49,77.97,1730.4,15.276,2.0
374,79.57,15.6,4902.18,78.34,1689.2,14.363,2.0
375,80.33,14.95,4902.03,77.97,1740.7,15.587,2.0
376,79.95,14.83,4901.75,77.06,1729.9,15.106,2.0
377,79.63,17.04,4901.45,76.82,1725.2,14.964,2.0
378,79.75,15.7,4901.14,76.82,1767.0,15.37,2.0
379,79.76,17.22,4900.94,77.76,1753.6,14.766,2.0
380,80.09,15.63,4900.63,77.87,1745.7,15.271,2.0
381,79.92,15.53,4900.5,78.27,1731.8,14.839,2.0
382,80.1,17.27,4900.17,78.02,1766.6,15.3,2.0
383,79.77,16.5,4899.86,77.22,1693.3,14.748,2.0
384,80.17,16.53,4899.54,78.48,1711.8,14.686,2.0
385,79.97,18.49,4899.35,77.33,1708.0,14.541,2.0
386,80.05,14.39,4899.02,78.96,1741.0,15.028,2.0
387,79.56,15.33,4898.79,77.54,1753.7,15.377,2.0
388,80.09,15.27,4898.65,77.5,1718.3,15.1,2.0
389,79.99,16.78,4898.31,78.67,1706.4,14.731,2.0
390,80.02,16.55,4897.96,77.26,1751.2,15.144,2.0
391,79.94,16.69,4897.83,78.17,1769.4,15.411,2.0
392,80.37,15.3,4897.67,78.44,1693.1,14.751,2.0
393,79.58,16.04,4897.36,77.3,1776.7,15.614,2.0
394,79.84,16.54,4897.01,77.21,1744.7,15.216,2.0
395,80.26,14.83,4896.71,77.55,1766.9,15.61,2.0
396,80.41,15.7,4896.51,77.48,1745.6,14.958,2.0
397,79.96,15.28,4896.34,77.17,1751.8,15.143,2.0
398,79.71,16.25,4895.95,77.89,1731.5,14.996,2.0
399,80.08,17.18,4895.6,78.16,1741.0,14.761,2.0
400,79.88,15.63,4895.32,77.8,1773.6,15.489,2.0
401,80.17,15.23,4894.98,77.41,1735.6,15.121,2.0
402,79.7,15.88,4894.7,78.09,1715.7,15.055,2.0
403,80.02,16.44,4894.4,78.01,1730.8,14.689,2.0
404,80.1,15.76,4894.29,77.27,1763.3,15.458,2.0
405,79.54,17.54,4894.0,77.3,1730.4,15.186,2.0
406,80.35,16.82,4893.6,77.97,1743.8,15.384,2.0
407,80.48,15.69,4893.37,78.81,1757.1,15.028,2.0
408,80.13,16.67,4892.99,77.18,1785.4,15.329,2.0
409,79.78,16.1,4892.7,77.68,1747.1,15.19,2.0
410,80.01,15.14,4892.59,78.92,1712.0,14.633,2.0
411,80.44,15.55,4892.22,78.58,1749.2,15.064,2.0
412,79.82,14.62,4891.94,78.47,1731.4,14.935,2.0
413,80.48,15.25,4891.65,79.07,1725.5,15.211,2.0
414,80.16,16.58,4891.26,78.61,1695.1,14.649,2.0
415,80.49,15.6,4890.9,78.22,1716.2,15.128,2.0
416,80.06,14.75,4890.7,77.69,1728.7,15.174,2.0
417,80.48,14.19,4890.39,78.96,1795.2,15.758,2.0
418,79.56,18.55,4890.08,76.81,1748.4,15.324,2.0
419,79.83,15.1,4889.8,78.82,1734.6,14.835,2.0
420,80.47,16.17,4889.66,79.07,1743.8,15.272,2.0
421,80.09,15.47,4889.33,78.57,1725.9,15.222,2.0
422,79.91,14.68,4888.93,78.36,1710.6,14.801,2.0
423,79.51,17.08,4888.83,78.44,1773.1,15.195,2.0
424,80.11,15.83,4888.55,77.61,1753.3,15.333,2.0
425,80.03,14.84,4888.27,77.16,1737.7,15.089,2.0
426,80.17,15.41,4888.13,77.4,1768.7,15.524,2.0
427,80.0,15.89,4887.85,78.29,1738.3,15.213,2.0
428,79.56,16.3,4887.71,77.54,1723.9,15.111,2.0
429,79.77,16.83,4887.33,78.47,1709.6,14.888,2.0
430,80.36,16.89,4887.2,78.56,1753.8,15.174,2.0
431,79.54,16.89,4886.97,77.93,1713.2,14.664,2.0
432,80.32,15.04,4886.63,78.75,1704.6,14.532,2.0
433,80.22,15.66,4886.47,77.81,1709.5,14.715,2.0
434,80.18,15.52,4886.29,77.22,1773.3,15.28,2.0
